mapping_name,comparison_scope,source_system,source_flow,source_product,target_system,target_flow,target_product,override_action,reason_code,human_note,review_status
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Biogasoline,NINTH,16_01_04_traditional_data_centres,16_05_biogasoline,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Blast furnace gas,NINTH,16_01_03_ai_training,02_coal_products,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Blast furnace gas,NINTH,16_01_04_traditional_data_centres,02_coal_products,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Charcoal,NINTH,16_01_03_ai_training,15_03_charcoal,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Charcoal,NINTH,16_01_04_traditional_data_centres,15_03_charcoal,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Coal tar,NINTH,16_01_03_ai_training,02_coal_products,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Coal tar,NINTH,16_01_04_traditional_data_centres,02_coal_products,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Coke oven coke,NINTH,16_01_03_ai_training,02_coal_products,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Coke oven coke,NINTH,16_01_04_traditional_data_centres,02_coal_products,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Coke oven gas,NINTH,16_01_03_ai_training,02_coal_products,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Coke oven gas,NINTH,16_01_04_traditional_data_centres,02_coal_products,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
leap_to_ninth,NINTH,LEAP,Buildings/Services/Data_Centers,Fuel oil,NINTH,16_01_03_ai_training,07_08_fuel_oil,include,reserved_zero_only_target_pair,Generated review-only override candidate. Confirm semantics before acceptance.,unreviewed
